High-Low Price,Close-Open Price,7-day m_avg,14-day m_avg,21-day m_avg,7-day m_std,Close
4.034877777099609,0.16936492919921875,4.034877777099609,4.034877777099609,4.034877777099609,0.0,49.9826545715332
4.273979187011719,3.6363677978515625,4.154428482055664,4.154428482055664,4.154428482055664,2.807295706427192,53.9527702331543
2.2067298889160156,-0.6724815368652344,3.5051956176757812,3.5051956176757812,3.5051956176757812,2.463890073371366,54.49573516845703
4.000007629394531,-3.1731033325195312,3.6288986206054688,3.6288986206054688,3.6288986206054688,2.031928640224575,52.23919677734375
2.05230712890625,0.5180587768554688,3.313580322265625,3.313580322265625,3.313580322265625,1.7607294996919889,52.802085876464844
1.6388587951660156,1.4744720458984375,3.0344600677490234,3.0344600677490234,3.0344600677490234,1.6331130707340549,53.753517150878906
1.4595298767089844,-0.9713592529296875,2.8094700404575894,2.8094700404575894,2.8094700404575894,1.4908230642459341,52.87680435180664
1.7335052490234375,-1.6288948059082031,2.4807025364467075,2.6749744415283203,2.6749744415283203,1.2329913748666803,50.81453323364258
0.7721061706542969,0.034870147705078125,1.9804349626813615,2.463544633653429,2.463544633653429,1.349841801476296,50.99386215209961
1.6438407897949219,-1.2204246520996094,1.900022234235491,2.381574249267578,2.381574249267578,1.3641832368190545,49.93782043457031
1.7085952758789062,1.1556663513183594,1.5726776123046875,2.320394342595881,2.320394342595881,1.4426852304749433,50.565467834472656
1.2054824829101562,-0.4682464599609375,1.451702662876674,2.227485020955404,2.227485020955404,1.4949676627250559,49.818267822265625
1.1905364990234375,0.283935546875,1.3876566205705916,2.14771975003756,2.14771975003756,1.012663551035249,50.600337982177734
1.2602767944335938,0.7770843505859375,1.35919189453125,2.0843309674944197,2.0843309674944197,0.4732062277785426,50.95899200439453
0.851806640625,-0.109588623046875,1.2332349504743303,1.8569687434605189,2.0021626790364584,0.4913609227570482,50.96397399902344
2.62017822265625,1.8580360412597656,1.4972452436174666,1.738840103149414,2.0407886505126953,0.8780447768620625,52.46833419799805
0.9713592529296875,0.4333763122558594,1.4011764526367188,1.6505993434361048,1.9778810388901655,1.2828155486669226,53.549285888671875
2.5952720642089844,2.0124588012695312,1.5278445652553014,1.5502610887799944,2.0121805402967663,2.000138983865872,55.536834716796875
2.007476806640625,0.7173118591308594,1.6424151829310827,1.5470589229038783,2.011932975367496,2.1869147528657646,55.7908821105957
2.0672531127929688,0.8119583129882812,1.767660413469587,1.5776585170200892,2.0146989822387695,2.370655803793551,56.7722053527832
1.9626426696777344,1.529266357421875,1.8679983956473214,1.6135951450892858,2.0122201102120534,2.6144066272665643,58.525630950927734
2.4059829711914062,1.20050048828125,2.0900235857282365,1.6616292681012834,1.9346536908830916,2.505408168173345,59.4571418762207
1.4495658874511719,-0.9813232421875,1.922793252127511,1.710019247872489,1.8001578194754464,2.1116109022094696,58.69997787475586
1.4246597290039062,0.4881706237792969,1.9875504629952567,1.6943634578159876,1.7629163832891555,1.6104415381270365,58.968971252441406
2.7945289611816406,0.9863014221191406,2.0160157339913503,1.771930149623326,1.7055126371837797,1.5365245240669616,60.18441390991211
2.1618995666503906,-0.5529289245605469,2.0380761282784596,1.8402456556047713,1.7107313246954055,1.1029240455075902,59.691261291503906
1.5342483520507812,-0.6475715637207031,1.961932591029576,1.8647965022495814,1.7057498750232516,0.5942890241671761,58.90919494628906
3.581573486328125,2.7696189880371094,2.1932084219796315,2.0306034088134766,1.8067995707194011,1.5517960011362522,63.193138122558594
4.378589630126953,2.18182373046875,2.4750093732561385,2.2825164794921875,1.9327559698195684,2.54357981974796,65.29525756835938
1.6438369750976562,-0.14943695068359375,2.5027623857770647,2.2127778189522878,1.9742669605073475,2.7303843742391285,64.55802154541016
2.6600265502929688,0.8866806030273438,2.679243360246931,2.3333969116210938,2.0226567586263022,2.9212794481817674,66.0424575805664
1.4146957397460938,-0.0946502685546875,2.4821243286132812,2.249070031302316,2.008661542619978,3.1812831942711566,67.27782440185547
3.1332550048828125,1.8480682373046875,2.6208893912179128,2.329482759748186,2.100460234142485,3.2209744521931234,68.92664337158203
1.220428466796875,-0.2341156005859375,2.5760579790387834,2.2689952850341797,2.1018836611793157,2.0621905793066744,68.2840576171875
1.658782958984375,0.961395263671875,2.301373617989676,2.247291019984654,2.120860145205543,1.8198667111184368,69.1657485961914
1.3250350952148438,-0.4931488037109375,1.8651515415736608,2.1700804574148997,2.1433948335193453,1.7059863139491789,68.60784149169922
2.4956436157226562,-0.8667449951171875,1.9868382045200892,2.244800295148577,2.137464614141555,1.1101369490353137,67.37745666503906
2.097137451171875,1.4744720458984375,1.9064254760742188,2.2928344181605746,2.1910730997721353,0.7249932723526699,68.4434585571289
1.7285232543945312,-1.2054824829101562,1.9512579781668526,2.216691153390067,2.149799346923828,0.8635627486088973,70.18692016601562
1.902862548828125,0.49315643310546875,1.7754876273018974,2.198188509259905,2.1448177155994235,1.1582373189470239,70.73487091064453
1.76837158203125,-0.40847015380859375,1.8537652151925224,2.2149115971156528,2.130585261753627,1.5135928439888084,71.78592681884766
3.9800796508789062,2.9688720703125,2.1853790283203125,2.2433763231549944,2.2266536894298734,2.3526815382058204,74.30149841308594
2.5155715942382812,-1.2752227783203125,2.3554556710379466,2.1103036063058034,2.2318721952892484,2.553812654165792,73.69377899169922
4.677467346191406,-3.75592041015625,2.667144775390625,2.326991489955357,2.385581788562593,2.09875476068277,69.9826889038086
4.239112854003906,2.4806976318359375,2.9731412615094865,2.439783368791853,2.5196033659435453,1.9498059953811882,74.41108703613281
