,High-Low Price,Close-Open Price,7-day m_avg,14-day m_avg,21-day m_avg,7-day m_std,Close
10314,2.1032945722844687,1.5404416787934636,1.363300685293,1.5874382750738962,1.94024367385368,0.9980180951291884,59.89942932128906
10315,2.0539184532284978,1.1948315640306928,1.5235133667217169,1.5630846918026573,1.8814761216897944,1.2723928600776198,61.035011291503906
10316,1.1553284456337067,0.4641082304003703,1.4501584703331818,1.5509629561538674,1.8289937230997533,1.643350309022818,61.68673706054688
10317,0.9677120778103898,0.35548307128055256,1.4529793218188891,1.511418776372444,1.774587849513252,1.55545093256391,61.07450866699219
10318,1.3231988470525382,0.9479623411180071,1.462853881305924,1.4166428577486216,1.7796417609606254,1.4758924691793114,60.83751678466797
10319,1.392320913774192,1.0862064158726596,1.4684961144362612,1.389901019211089,1.793128439674116,1.3442630205642263,62.21996307373047
10320,2.014422779788461,-1.155332152210356,1.5728851556531789,1.4160078511406486,1.6212429529561403,0.8462353555775852,59.94879913330078
10321,2.3007878111282243,0.6319749517819488,1.601098475488001,1.4821995803905013,1.591991675211928,0.7651125496115699,60.35366439819336
10322,2.863636918891757,2.6266481997297793,1.7167725420113238,1.620142954366521,1.6143139752055433,0.9254417334191416,62.39770889282226
10323,3.3672444935599373,-1.9847965053088856,2.032760548857929,1.7414595095955556,1.7115621537218846,1.0645430830661071,59.64269256591797
10324,1.9847965031635295,-0.10862139755673894,2.178058323908377,1.8155188228636336,1.733631958884419,1.1135841652375429,60.01792526245117
10325,1.412070576589393,1.145455457212286,2.190754285270785,1.826804083288355,1.6746800002560065,1.2211790558243831,62.09159469604492
10326,2.0045461839610117,-1.5404379475295684,2.278215038154616,1.8733555762954397,1.6860056921922617,1.0907147637683778,60.47216033935547
10327,1.7971800770201443,-0.7307195828582351,2.247180366330571,1.9100327609918757,1.693065356203953,1.2174831693351775,59.14896011352539
10328,2.3007877808933586,-1.4811926863498854,2.247180362011304,1.9241394187496532,1.7371931742640991,1.668205341340817,57.59864807128906
10329,2.6365248108105845,1.4614466935020616,2.2147357751425654,1.9657541585769451,1.818340561291866,1.3576659912483642,59.97842788696289
10330,1.9551737614120697,-0.6122289809983741,2.0130113848357274,2.0228859668468284,1.8319768013422764,1.3866997137150334,59.09958267211914
10331,2.300783839671169,1.4713158474979693,2.0581524329082472,2.1181053784083126,1.8963966928785017,1.604124196581309,61.88422393798828
10332,1.965050537634994,-0.9578391017829871,2.137149570200476,2.163951927735631,1.9302525789257257,1.4842098638415675,61.4694938659668
10333,1.6786819637993702,0.3653635601438694,2.0905975387488134,2.184406288451715,1.9457695637798942,1.7763389861928558,62.51620483398438
10334,1.0467070071644855,0.2468654287640817,1.9833871001980048,2.115283733264288,1.9344842073939157,1.8246922808195176,62.11134338378906
10335,1.3824479314506206,0.17774341309700506,1.8521956931347563,2.0496880275730307,1.900158176878018,1.4037930476430562,62.99018478393555
10336,1.6293133601976422,0.6220981773546796,1.708308343047193,1.96152205909488,1.8799388867336917,1.5186888208739096,63.96776962280274
10337,2.5476530447820807,1.5404378718519425,1.7929482406714805,1.9029798127536044,1.9462400581217087,1.2380205736398957,64.95523071289061
10338,2.0242920039071284,-1.8761750061631373,1.753449406990903,1.905800919949576,1.99655338793584,1.1640514251829612,62.93093490600586
10339,2.044045531617215,0.5727258591614941,1.7647344061312202,1.9509419881658483,2.0308794205341583,0.9571359852208888,62.9605598449707
10340,1.7971801309907036,0.7998416277736027,1.7816627157299822,1.936130127239398,2.0501584308778007,1.0677895845539442,64.80711364746094
10341,2.843894622990092,-2.4884040282487376,2.038403803705069,2.0108954519515367,2.0896570900778793,0.9569960284410469,62.6840705871582
10342,5.381667207292721,-4.48307717942312,2.6097208431110834,2.2309582681229196,2.2363656327523787,1.3044512046392602,61.26212692260742
10343,1.4416932520779395,0.35548683297651706,2.5829179705225545,2.1456131567848744,2.168654029570768,1.4888817561206316,61.24237823486328
10344,3.1598784431407694,3.0315111241387527,2.6703787417166533,2.231663491194067,2.1587794557412843,1.3189884737116129,64.05664825439453
10345,1.5009385759025309,0.4838541579656592,2.5956139662874245,2.174531686639164,2.135738602062189,1.3575923477230638,63.6912841796875
10346,0.8393409787091528,0.0,2.4235133158719866,2.0941238610016044,2.108465764067892,1.3576008983902774,62.970436096191406
10347,0.8985862710801484,-0.009876726903257804,2.2951427644561937,2.038402740093088,2.0558010063116603,1.105309313397803,63.19755172729492
10348,1.2935725353851737,-0.1678666963696429,2.073668180512634,2.0560359921088516,2.0318196948052334,1.1684574959576564,63.74066162109375
10349,2.014422812311785,1.5700680519241246,1.5926332669439287,2.1011770550275064,2.01818326772992,1.3377031240884625,65.70570373535156
10350,1.2738264392462355,-0.4937308275961527,1.568652293682257,2.075785132102406,1.9532928690839984,0.9418337470568864,64.73798370361328
10351,1.1948278336065243,0.572729632757472,1.2879307780345073,1.9791547598755803,1.9170859201408772,1.0823825837821182,65.41934204101561
10352,0.9183397161993412,0.0789987470082707,1.2047023695054802,1.9001581678964532,1.8512552475946,1.2817161783462094,66.20931243896484
10353,1.7478115973634374,1.441693317741766,1.3344838864560924,1.8789986011640405,1.8409105361530973,1.4453204152086574,67.40414428710939
10354,3.7326045108741748,-2.7550118751797896,1.7393436349980962,2.017243199727145,1.9387163717280882,1.1981488186226728,64.58988189697266
10355,1.4021937823429695,-0.3851094538303244,1.754860955992067,1.9142645682523507,1.9556443134032535,1.063923767765852,64.40225219726561
10356,1.520688180350298,-1.1059523007147618,1.684327437140426,1.6384803520421778,1.9622271823984765,1.3185674995110048,63.385169982910156
